File Name,Created,Last Modified,Size (bytes),Directory Path
P7160256.JPG,Mon Aug  2 10:19:29 2021,Fri Jul 16 12:06:56 2010,862899,E:\picture\100OLYMP
P7160257.JPG,Mon Aug  2 10:19:29 2021,Fri Jul 16 12:32:18 2010,759897,E:\picture\100OLYMP
P7160259.JPG,Mon Aug  2 10:19:29 2021,Fri Jul 16 13:34:36 2010,932208,E:\picture\100OLYMP
P7160260.JPG,Mon Aug  2 10:19:29 2021,Fri Jul 16 13:35:12 2010,944977,E:\picture\100OLYMP
P8070261.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:29:56 2010,789845,E:\picture\100OLYMP
P8070262.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:30:02 2010,869224,E:\picture\100OLYMP
P8070263.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:30:42 2010,803042,E:\picture\100OLYMP
P8070264.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:37:18 2010,838475,E:\picture\100OLYMP
P8070265.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:37:28 2010,855791,E:\picture\100OLYMP
P8070267.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:42:28 2010,890364,E:\picture\100OLYMP
P8070268.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:42:56 2010,863594,E:\picture\100OLYMP
P8070269.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:43:34 2010,875590,E:\picture\100OLYMP
P8070270.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:44:06 2010,871992,E:\picture\100OLYMP
P8070271.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:44:18 2010,889682,E:\picture\100OLYMP
P8070272.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:45:10 2010,812508,E:\picture\100OLYMP
P8070273.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:46:04 2010,772137,E:\picture\100OLYMP
P8070274.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:46:24 2010,846803,E:\picture\100OLYMP
P8070275.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:48:02 2010,878536,E:\picture\100OLYMP
P8070276.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:49:16 2010,897539,E:\picture\100OLYMP
P8070278.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:52:18 2010,870926,E:\picture\100OLYMP
P8070279.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:52:30 2010,872373,E:\picture\100OLYMP
P8070280.JPG,Mon Aug  2 10:19:29 2021,Sat Aug  7 08:52:52 2010,843146,E:\picture\100OLYMP
